order_id,order_date,region,product_category,supplier,warehouse,order_quantity,inventory_level,delivery_days,status,shipping_cost
1001,01/01/2023 0:00,Europe,Clothing,Supplier_D,WH_LON,62,134,6,Delayed,163.3047684
1002,01/01/2023 1:00,Africa,Food,Supplier_D,WH_MUM,76,192,8,Delayed,290.0349812
1003,01/01/2023 2:00,Asia,Clothing,Supplier_B,WH_MUM,69,146,5,Delivered,241.8598117
1004,01/01/2023 3:00,Europe,Food,Supplier_A,WH_DXB,63,224,7,Delayed,182.4171408
1005,01/01/2023 4:00,Middle East,Food,Supplier_A,WH_JED,2,149,4,Delivered,9.303077798
1006,01/01/2023 5:00,Middle East,Clothing,Supplier_A,WH_MUM,54,126,6,Delayed,254.0249557
1007,01/01/2023 6:00,Middle East,Furniture,Supplier_A,WH_DXB,16,134,6,Delayed,46.00083249
1008,01/01/2023 7:00,Africa,Food,Supplier_B,WH_LON,55,110,10,Delayed,135.6992682
1009,01/01/2023 8:00,Asia,Clothing,Supplier_B,WH_LON,94,103,5,Delivered,230.0440627
1010,01/01/2023 9:00,Asia,Electronics,Supplier_B,WH_LON,43,258,6,Delayed,148.4908502
1011,01/01/2023 10:00,Middle East,Clothing,Supplier_B,WH_LON,61,22,5,Delivered,146.3240847
1012,01/01/2023 11:00,Africa,Electronics,Supplier_A,WH_DXB,38,288,8,Delayed,129.9607853
1013,01/01/2023 12:00,Asia,Food,Supplier_D,WH_JED,45,85,8,Delayed,152.3610998
1014,01/01/2023 13:00,Middle East,Clothing,Supplier_C,WH_DXB,51,45,4,Delivered,237.2688626
1015,01/01/2023 14:00,Middle East,Clothing,Supplier_B,WH_JED,42,27,2,Delivered,121.3225154
1016,01/01/2023 15:00,Middle East,Electronics,Supplier_D,WH_LON,24,104,5,Delivered,88.36697702
1017,01/01/2023 16:00,Middle East,Clothing,Supplier_B,WH_MUM,30,110,2,Delivered,126.9149878
1018,01/01/2023 17:00,Europe,Clothing,Supplier_A,WH_MUM,37,133,4,Delivered,140.1465423
1019,01/01/2023 18:00,Europe,Food,Supplier_A,WH_MUM,53,118,7,Delayed,257.6967874
1020,01/01/2023 19:00,Middle East,Clothing,Supplier_D,WH_JED,63,120,5,Delivered,239.8304438
1021,01/01/2023 20:00,Asia,Furniture,Supplier_D,WH_LON,11,115,7,Delayed,51.76145189
1022,01/01/2023 21:00,Middle East,Electronics,Supplier_D,WH_DXB,78,94,6,Delayed,213.3431951
1023,01/01/2023 22:00,Middle East,Clothing,Supplier_A,WH_MUM,23,69,2,Delivered,84.69194132
1024,01/01/2023 23:00,Europe,Electronics,Supplier_A,WH_JED,80,113,5,Delivered,290.3934224
1025,02/01/2023 0:00,Europe,Electronics,Supplier_C,WH_MUM,50,144,6,Delayed,248.4178165
1026,02/01/2023 1:00,Asia,Electronics,Supplier_D,WH_DXB,85,51,7,Delayed,222.1491099
1027,02/01/2023 2:00,Middle East,Clothing,Supplier_C,WH_LON,55,114,6,Delayed,133.2639107
1028,02/01/2023 3:00,Europe,Clothing,Supplier_B,WH_DXB,55,81,8,Delayed,210.9258928
1029,02/01/2023 4:00,Europe,Electronics,Supplier_C,WH_LON,4,191,4,Delivered,10.68430572
1030,02/01/2023 5:00,Middle East,Furniture,Supplier_B,WH_LON,97,103,4,Delivered,379.9942056
1031,02/01/2023 6:00,Asia,Electronics,Supplier_B,WH_LON,54,271,7,Delayed,265.5432323
1032,02/01/2023 7:00,Middle East,Furniture,Supplier_C,WH_MUM,61,129,3,Delivered,295.2105972
1033,02/01/2023 8:00,Middle East,Electronics,Supplier_D,WH_DXB,78,160,2,Delivered,210.0781078
1034,02/01/2023 9:00,Africa,Food,Supplier_B,WH_MUM,83,143,6,Delayed,208.5531907
1035,02/01/2023 10:00,Africa,Electronics,Supplier_D,WH_DXB,5,64,10,Delayed,18.41108931
1036,02/01/2023 11:00,Asia,Electronics,Supplier_A,WH_JED,95,63,5,Delivered,357.2315271
1037,02/01/2023 12:00,Middle East,Clothing,Supplier_B,WH_JED,18,46,3,Delivered,71.76150385
1038,02/01/2023 13:00,Middle East,Furniture,Supplier_A,WH_DXB,44,114,2,Delivered,185.8768022
